,Feature,Ranking
43,"('admitted_1_week_before', 'W.P. Kuala Lumpur')",1
49,"('admitted_2_day_before', 'Melaka')",1
179,"('vacc_2_week_before', 'W.P. Kuala Lumpur')",1
107,"('admitted_5_day_before', 'Kedah')",1
55,"('admitted_2_day_before', 'Sarawak')",1
106,"('admitted_5_day_before', 'Johor')",1
103,"('admitted_4_day_before', 'W.P. Kuala Lumpur')",1
48,"('admitted_2_day_before', 'Kelantan')",1
61,"('admitted_2_week_before', 'Johor')",1
102,"('admitted_4_day_before', 'Terengganu')",1
70,"('admitted_2_week_before', 'Sarawak')",1
101,"('admitted_4_day_before', 'Selangor')",1
76,"('admitted_3_day_before', 'Johor')",1
79,"('admitted_3_day_before', 'Melaka')",1
100,"('admitted_4_day_before', 'Sarawak')",1
63,"('admitted_2_week_before', 'Kelantan')",1
95,"('admitted_4_day_before', 'Negeri Sembilan')",1
86,"('admitted_3_day_before', 'Selangor')",1
109,"('admitted_5_day_before', 'Melaka')",1
5,"('admitted_total', 'Pahang')",1
9,"('admitted_total', 'Sabah')",1
149,"('cases_new', 'W.P. Kuala Lumpur')",1
145,"('cases_new', 'Sabah')",1
19,"('admitted_1_day_before', 'Melaka')",1
21,"('admitted_1_day_before', 'Pahang')",1
41,"('admitted_1_week_before', 'Selangor')",1
22,"('admitted_1_day_before', 'Perak')",1
138,"('cases_new', 'Kelantan')",1
35,"('admitted_1_week_before', 'Negeri Sembilan')",1
137,"('cases_new', 'Kedah')",1
167,"('vacc_2_week_before', 'Johor')",1
139,"('cases_new', 'Melaka')",1
148,"('cases_new', 'Terengganu')",2
108,"('admitted_5_day_before', 'Kelantan')",3
126,"('admitted_6_day_before', 'Pahang')",4
52,"('admitted_2_day_before', 'Perak')",5
153,"('vacc_1_week_before', 'Kedah')",6
20,"('admitted_1_day_before', 'Negeri Sembilan')",7
81,"('admitted_3_day_before', 'Pahang')",8
58,"('admitted_2_day_before', 'W.P. Kuala Lumpur')",9
10,"('admitted_total', 'Sarawak')",10
40,"('admitted_1_week_before', 'Sarawak')",11
71,"('admitted_2_week_before', 'Selangor')",12
36,"('admitted_1_week_before', 'Pahang')",13
83,"('admitted_3_day_before', 'Perlis')",14
147,"('cases_new', 'Selangor')",15
146,"('cases_new', 'Sarawak')",16
3,"('admitted_total', 'Melaka')",17
118,"('admitted_5_day_before', 'W.P. Kuala Lumpur')",18
157,"('vacc_1_week_before', 'Pahang')",19
182,"('vacc_3_week_before', 'Johor')",20
123,"('admitted_6_day_before', 'Kelantan')",21
65,"('admitted_2_week_before', 'Negeri Sembilan')",22
18,"('admitted_1_day_before', 'Kelantan')",23
115,"('admitted_5_day_before', 'Sarawak')",24
113,"('admitted_5_day_before', 'Perlis')",25
176,"('vacc_2_week_before', 'Sarawak')",26
91,"('admitted_4_day_before', 'Johor')",27
191,"('vacc_3_week_before', 'Sarawak')",28
127,"('admitted_6_day_before', 'Perak')",29
98,"('admitted_4_day_before', 'Perlis')",30
87,"('admitted_3_day_before', 'Terengganu')",31
54,"('admitted_2_day_before', 'Sabah')",32
38,"('admitted_1_week_before', 'Perlis')",33
51,"('admitted_2_day_before', 'Pahang')",34
56,"('admitted_2_day_before', 'Selangor')",35
23,"('admitted_1_day_before', 'Perlis')",36
151,"('cases_new', 'W.P. Putrajaya')",37
33,"('admitted_1_week_before', 'Kelantan')",38
194,"('vacc_3_week_before', 'W.P. Kuala Lumpur')",39
177,"('vacc_2_week_before', 'Selangor')",40
207,"('vacc_4_week_before', 'Selangor')",41
12,"('admitted_total', 'Terengganu')",42
121,"('admitted_6_day_before', 'Johor')",43
99,"('admitted_4_day_before', 'Sabah')",44
164,"('vacc_1_week_before', 'W.P. Kuala Lumpur')",45
50,"('admitted_2_day_before', 'Negeri Sembilan')",46
110,"('admitted_5_day_before', 'Negeri Sembilan')",47
92,"('admitted_4_day_before', 'Kedah')",48
142,"('cases_new', 'Perak')",49
39,"('admitted_1_week_before', 'Sabah')",50
